blind_id	linguistic_correctness	naturalness	level_fit	source_grounding	answerability	pedagogical_value	cognitive_load	critical_errors	reviewer_confidence	reviewer_notes
LB2B-025	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-026	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-027	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-028	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-029	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-030	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-031	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-032	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-033	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-034	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-035	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-036	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-037	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-038	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-039	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-040	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-041	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-042	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-043	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-044	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-045	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-046	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-047	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-048	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-049	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-050	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-051	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
LB2B-052	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED	UNSCORED
