id	domain	subdomain	source_lang	target_lang	source_text	reference_text	provenance_id	source_sha256	stress_kind	parent_id
ID-ASR-031	in-domain	asr-style-human-gold	he	ru	בוקר טוב מתחיל בקפה.	Хорошее утро начинается с кофе.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N31	ece05dd119b42b19e5ef5e7a79b9fff5c8e9bc37c80df19b19a7121edd0eb1ed	none	
ID-ASR-032	in-domain	asr-style-human-gold	he	ru	בכל בוקר אני הולך ברגל.	Каждое утро я хожу пешком.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N32	458b4df0385df2857f81ad3b2f000e1415639fa4a62639d49caebdfb960caa37	none	
ID-ASR-033	in-domain	asr-style-human-gold	he	ru	ערב שקט יורד על העיר.	На город опускается тихий вечер.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N33	aaf67e36e8c7bddce7dee4ae695134f58f80ece8120af9683e506c44e2fe113d	none	
ID-ASR-034	in-domain	asr-style-human-gold	he	ru	בכל ערב אנחנו קוראים.	Каждый вечер мы читаем.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N34	583cf1d59a62b5652172a7a76f7224d7841d22eb1d58b473a92b5548ca4dde90	none	
ID-ASR-035	in-domain	asr-style-human-gold	he	ru	כסף נמצא בתוך הארנק.	Деньги находятся в кошельке.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N35	9693711d1bf3e368beca21eeb6eda8e68f37465f86b98a4f43934c68f0d2375b	none	
ID-ASR-036	in-domain	asr-style-human-gold	he	ru	חסכתי כסף לטיול.	Я накопил деньги на поездку.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N36	2802e1f00af62e5ec6a2f9cdbaccf1ddc27553acd7659f7e0aec250a11f519ca	none	
ID-ASR-037	in-domain	asr-style-human-gold	he	ru	חדר קטן נמצא למעלה.	Наверху находится маленькая комната.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N37	b244594badef1b27f5ab31886076f5203fd74803a07cda2807891ea346b05905	none	
ID-ASR-038	in-domain	asr-style-human-gold	he	ru	סידרתי חדר לאורחים.	Я подготовил комнату для гостей.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N38	a265e758a76789d8999cc214725b776a7ddb73b41637022121612932693f3a77	none	
ID-ASR-039	in-domain	asr-style-human-gold	he	ru	ילד שמח רץ בחצר.	Счастливый мальчик бежит по двору.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N39	cc6c6b5b776fd82e6bbf8ef73c4cb12ddd939102b35fed8a29ae6fba5b56e157	none	
ID-ASR-040	in-domain	asr-style-human-gold	he	ru	ראיתי ילד ליד הגינה.	Я видел ребёнка возле сада.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N40	e15b6a396a0588b58359b0e752426cf79aedbecfe4c3d5966ec44152cdb00d7c	none	
ID-ASR-041	in-domain	asr-style-human-gold	he	ru	ספר חדש מונח על השולחן.	На столе лежит новая книга.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N41	75d57c6846cb513b88eb851eeee5daf518ebe1d4010b17a47bbf24401f96800d	none	
ID-ASR-042	in-domain	asr-style-human-gold	he	ru	קניתי ספר בחנות.	Я купил книгу в магазине.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N42	2ae0137cb8807e7ebc5aa3e248c8cc7b328f7bb1d6d9b6b4c91f335e445d45b3	none	
ID-ASR-043	in-domain	asr-style-human-gold	he	ru	לחם טרי מוכן במטבח.	На кухне готов свежий хлеб.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N43	ffa2c81ff9f3ec557fb18aa33b55f8b4f5fee602455eb26f210f243aceff36ab	none	
ID-ASR-044	in-domain	asr-style-human-gold	he	ru	אפיתי לחם בבוקר.	Я испёк хлеб утром.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N44	04ea6b7eefd713f492b098266a7c1611669e5cbcb72627f14359d05e964537b2	none	
ID-ASR-045	in-domain	asr-style-human-gold	he	ru	גשם חזק ירד בלילה.	Ночью шёл сильный дождь.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N45	f48379866533bfd89328f4abdb9fd48e44358a7d0259e6cb4f8a16e4cba930ee	none	
ID-ASR-046	in-domain	asr-style-human-gold	he	ru	מחר צפוי גשם קל.	Завтра ожидается небольшой дождь.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N46	7b4f8e03c340041f85c97daa2c79c7d8b4ab085c1a4b99398baf3512633c85e2	none	
ID-ASR-047	in-domain	asr-style-human-gold	he	ru	כלב קטן מחכה בחוץ.	Маленькая собака ждёт снаружи.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N47	79a4abeab89ea40a738c08ce6844bb35a4deae5e7e0f95b2ee5b11f54ab2ef0a	none	
ID-ASR-048	in-domain	asr-style-human-gold	he	ru	ראיתי כלב ליד השער.	Я видел собаку возле ворот.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N48	bde57a9063d482b9dc554d657b64a7fa7b7eb95c779411a68c4ed34597727df1	none	
ID-ASR-049	in-domain	asr-style-human-gold	he	ru	שמש חמה זורחת היום.	Сегодня светит жаркое солнце.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N49	74dfa341b55c94a413dae1bc7dd4683c442044a13277fe26eb427be1436a041d	none	
ID-ASR-050	in-domain	asr-style-human-gold	he	ru	בבוקר ראינו שמש בהירה.	Утром мы увидели яркое солнце.	docs/research/hermes-education-scaleup/rnd-c1-2026-07-24/benchmark_manifest.tsv#N50	cd293e9bf298a5c0416ddb8eb0d901b9f26ed4c2ab241f4613d97be8ef63e1db	none	
ID-LIT-001	in-domain	reading-room-article	he	ru	בין כל הצרות שנתחדשו עלינו בעת האחרונה תעשׂה ביחוד רושם מעציב בלב כל איש ישׂראל התחדשות 'עלילת־הדם'.	Среди всех бед, вновь постигших нас в последнее время, возобновление «кровавого навета» производит особенно печальное впечатление на сердце каждого еврея.	public/data/benyehuda/canon-v4.zip#library/by-10:1	8590245ab27f6909b8af367e14ebde23713bb8d2670166724fbf4c34b5be622b	none	
ID-LIT-002	in-domain	reading-room-prose	he	ru	תור האביב הגיע והחורף עודנו שׂורר בכל תקפו על ארץ רבה.	Пришла весна, а зима всё ещё царит во всей своей силе над обширной страной.	public/data/benyehuda/canon-v4.zip#library/by-113:1	e3aa35eaedb86707dbd69ffac97f23382b07950adea974829827831b4354987e	none	
ID-LIT-003	in-domain	reading-room-poetry	he	ru	אֲשֶׁר עָמְדוּ בִּפְנֵי גַרְזֶן-הַמַּשְׂטֵמָה –	Которые устояли перед топором ненависти —	public/data/benyehuda/canon-v4.zip#library/by-139:1	1f733a9ad67746846e4c9b77553b9cee528b0f03b46f3e1bcd23a85a98385baf	none	
ID-LIT-004	in-domain	reading-room-article	he	ru	העלילה הנתעבה הזאת, בכל יָשנה, היתה ותהיה תמיד בעינינו כחדשה, ומימי הבינים ועד עתה תצטין בפעולתה החזקה על רוח עמנו, לא רק במקום המעשׂה, כי אם גם בארצות רחוקות שהגיעה אליהן השמועה.	Этот отвратительный навет, при всей своей древности, был и всегда будет казаться нам новым; со Средних веков и доныне он отличается сильнейшим воздействием на дух нашего народа — не только там, где совершается само дело, но и в далёких странах, куда доходит весть о нём.	public/data/benyehuda/canon-v4.zip#library/by-10:2	d98a3f2f0d5b5881cc55e93475897a1019d4fb4518df29017790f194339216b4	none	
ID-LIT-005	in-domain	reading-room-prose	he	ru	המעט ממנו המכאובים אשר הביא לעניי אדם זה שישה ירחים!	Разве мало страданий принёс он беднякам за эти шесть месяцев!	public/data/benyehuda/canon-v4.zip#library/by-113:2	ef1800ada4594325ee36b565f1c07e4475c78f7fd813052d70fa60479d230b48	none	
ID-LIT-006	in-domain	reading-room-poetry	he	ru	מַשּׂוֹר הַשִּׁעֲמוּם נִסֵּר קִמְעָה קִמְעָה…	Пила скуки пилила понемногу…	public/data/benyehuda/canon-v4.zip#library/by-139:2	623ae7ea445303a747540a25271fdc6443437f3a0775801d619c480659e4c54d	none	
ID-LIT-007	in-domain	reading-room-article	he	ru	אמרתי: 'על רוח עמנו', כי אמנם רואה אני מקור החזיון הזה לא בסבּות חיצוניות, כי אם עמוק ברוח העם.	Я сказал: «на дух нашего народа», ибо источник этого явления я действительно вижу не во внешних причинах, а глубоко в духе народа.	public/data/benyehuda/canon-v4.zip#library/by-10:3	80ab60473a96e27ec4381285c83c8596d9de7587dc3d246fc11c65c459e9710d	none	
ID-LIT-008	in-domain	reading-room-prose	he	ru	את כל עמלם אכלו התנורים, ומעט תפוחי-האדמה אשר חשׂכו לימי החורף קפאו במרתף; וכל זה איננו שווה לו.	Печи пожрали весь их труд, а немногие картофелины, прибережённые на зиму, замёрзли в погребе; и всего этого ему ещё недостаточно.	public/data/benyehuda/canon-v4.zip#library/by-113:3	5bd0fc15bcd42523a07a898066697be4117d1cc4da898cbbad7249b4da40bd34	none	
ID-LIT-009	in-domain	reading-room-poetry	he	ru	וּבְכֵן – הַקֵּץ, אֵלָיו הִתְגַּעְגֵּעַ	Итак — конец, по которому он тосковал,	public/data/benyehuda/canon-v4.zip#library/by-139:3	195e47026c25a5faab43af74630f65280b8782e9ba852612271c00232dd4018e	none	
ID-LIT-010	in-domain	reading-room-article	he	ru	בימי הבינים, שהיה כלל ישׂראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים שעלה עליהם הגורל להיות כפּרותו, – יש מקום אמנם לראות בזה רק תוצאת הסכנה הגשמית הגדולה להכלל כולו, שהיתה כרוכה אז באמת בעקב כל עלילה כזו.	В Средние века, когда весь Израиль в подобных случаях привык считать, что вместе с теми несчастными, которым выпал жребий стать его искупительной жертвой, судят и его самого, — в этом ещё можно видеть лишь следствие огромной физической опасности для всей общины, действительно сопутствовавшей тогда всякому такому навету.	public/data/benyehuda/canon-v4.zip#library/by-10:4	182da8f6bf1bc1045cb2ff0528f835862e45832f1f2bd25dc9a4cc87296abe42	none	
ID-LIT-011	in-domain	reading-room-prose	he	ru	עוד מעט והגיע חג השבועות, והוא – ממקומו לא ימוש.	Вот-вот наступит праздник Шавуот, а он не сдвинется со своего места.	public/data/benyehuda/canon-v4.zip#library/by-113:4	9f7bd70c900a0ff81b0fa422b25ce405425a750cbbbe81bfd2f2ff699e3a1552	none	
ID-LIT-012	in-domain	reading-room-poetry	he	ru	אֵינֶנּוּ שָׂשׂ, אִם גַּם לֹא עוֹד עָצֵב.	Он не ликует, хотя уже и не печален.	public/data/benyehuda/canon-v4.zip#library/by-139:4	c1ebdeee6c89d0a5354d1e17e7081f2b287e8a54be6b4ee900570e520cd33902	none	
ID-LIT-013	in-domain	reading-room-article	he	ru	גם לפני חמשים שנה, בימי מנוחה ושלוה, שעוררה עלילת דמשׂק רעש גדול כל־כך בארצות המערב, עדיין יש מקום לאמר, כי היתה בזה, להפך, יד הקנאה הגדולה לכבודם וזכויותיהם ששׂררה אז בלבות אחינו המערביים, אשר זה מעט יצאו מעבדות לחרות.	Даже пятьдесят лет назад, в дни покоя и благополучия, когда Дамасский навет вызвал такой великий шум в странах Запада, ещё можно было сказать, что здесь, напротив, действовала великая ревность к своей чести и правам, царившая тогда в сердцах наших западных братьев, лишь недавно вышедших из рабства на свободу.	public/data/benyehuda/canon-v4.zip#library/by-10:5	e7b1b59d29bdfe42b26c0711fd874880763f1f2d41e36d2efdad34735517e905	none	
ID-LIT-014	in-domain	reading-room-prose	he	ru	"הנה בוקר לא עבות, והשמש יופיע בהדרו והפיץ קווים חמים על הארץ, העטופה רגבי קרח ושלג, הילדים הקטנים מתפרצים זעיר שם זעיר שם מן ה""חדר"", המלא צחנה וריקבון, החוצה, לשאוף רוח צח ולשחק לפני האורח – השמש."	Вот безоблачное утро; солнце является во всём своём великолепии и разбрасывает тёплые лучи по земле, покрытой глыбами льда и снега; маленькие дети то тут, то там вырываются из «хедера», полного зловония и гнили, наружу — подышать свежим воздухом и поиграть перед гостем-солнцем.	public/data/benyehuda/canon-v4.zip#library/by-113:5	39afc6861df39a7982fb87bec4d51c1396381f71fe3ac97881cc8a3ac657dc6c	none	
ID-LIT-015	in-domain	reading-room-poetry	he	ru	"אל גרם המעלות העומד על כסא דין מו""ה משׁה הלוי עהרענרייך מודינא."	Высокочтимому сановнику, восседающему на судейском престоле, нашему учителю и раввину Моше ха-Леви Эренрайху из Модены.	public/data/benyehuda/canon-v4.zip#library/by-148:1	b7c380a1337d5c94171323f2b6a24215e57610d458afd47e9ca062415e62251e	none	
ID-LIT-016	in-domain	reading-room-article	he	ru	אבל – 'אין רע בלא טוב', כלומר, בלא לקח טוב.	Однако «нет худа без добра», то есть без доброго урока.	public/data/benyehuda/canon-v4.zip#library/by-10:6	24dadd9311bb5ef2f0e52f480612d065bc37f4a145924502a5594e16308948d6	none	
ID-LIT-017	in-domain	reading-room-prose	he	ru	הנערים ישׂיחו כבר על אודות הנהר.	Юноши уже говорят о реке.	public/data/benyehuda/canon-v4.zip#library/by-113:6	3904ea02754564e070098423287b502af250537e9e6362423d373107ac5b043c	none	
ID-LIT-018	in-domain	reading-room-poetry	he	ru	"אתמול שבת קדש ראש חדש שבט שנת התרי""ח קבלתי שירו היקר."	Вчера, в святую субботу, в новомесячье швата 5618 года, я получил Ваше драгоценное стихотворение.	public/data/benyehuda/canon-v4.zip#library/by-148:2	587addf709cb4ede2e237e7a12dd0323d01f514e7bea933707b0c78be6e47e6b	none	
ID-LIT-019	in-domain	reading-room-article	he	ru	גם הרע הגדול הזה שאנו עסוקים בו אינו ריק מלקח טוב, ואנחנו, אשר לא אדונים אנחנו לגורלנו וגם את הטוב גם את הרע נקבל מן החוץ שלא בטובתנו, ראוי לנו לבקש ברעותינו תמיד את התועלת הלמודית הצפונה בהן, והיתה לנו זאת, לפחות, חצי נחמה.	И это великое зло, которым мы заняты, не лишено доброго урока; нам же, не являющимся хозяевами своей судьбы и поневоле принимающим извне и добро, и зло, следует всегда искать в своих бедствиях сокрытую в них поучительную пользу — и пусть это будет для нас хотя бы половиной утешения.	public/data/benyehuda/canon-v4.zip#library/by-10:7	9044281c4bf559850dcb7cb3c849e5433269288ccb2fc9f1bab907aa2996a37c	none	
ID-LIT-020	in-domain	reading-room-prose	he	ru	"יום ל""ג בעומר כבר עבר, האנשים יפשטו את אדרות-הכבשׂים מעליהם ובעלי-המלאכה ישׂמחו לקראת היום הבהיר והחם, ידיהם לא תקפאנה עוד מקור וילדיהם הקטנים ירדו מן המיטות לשׂחק ולהשתעשע."	День Лаг ба-Омера уже миновал; люди снимут с себя овчинные тулупы, а ремесленники обрадуются ясному и тёплому дню: их руки больше не будут коченеть от холода, а маленькие дети слезут с постелей, чтобы играть и забавляться.	public/data/benyehuda/canon-v4.zip#library/by-113:7	63ee6c9e81f47ed3674f08e43ed85d53fe93298d90c582cbcff58bd79300e91c	none	
ID-LIT-021	in-domain	reading-room-poetry	he	ru	ואני כאדם ביקר, אין בידי מחקר; נדדה שנת עיני, שוטטו רעיוני, אמרתי בחפזי1	И я, как человек в почёте, не имею ответа; сон покинул мои глаза, мысли мои блуждали, и я поспешно сказал:	public/data/benyehuda/canon-v4.zip#library/by-148:3	0a3174ee17d1a8fce84f152d608accdbf90e5d475d462513da55da8a983ef200	none	
ID-LIT-022	in-domain	reading-room-article	he	ru	אחד הכוחות היותר גדולים בחיי החברה הוא – 'ההסכמה הכללית'.	Одна из величайших сил общественной жизни — это «всеобщее согласие».	public/data/benyehuda/canon-v4.zip#library/by-10:8	290e4bf5165067e62c6f0a7865a03051f114a909e3e7c0e4021531adb1eb0be4	none	
ID-LIT-023	in-domain	reading-room-prose	he	ru	הערב גם הוא חם ונעים, השמים טהורים, רבבות כוכבים נוצצים ומזהירים, והתקוָה תתגנב אל לבב כל גבר, כי עוד מעט ובא האביב.	Вечер тоже тёплый и приятный, небо чисто, десятки тысяч звёзд сверкают и сияют, и в сердце каждого человека крадётся надежда, что скоро придёт весна.	public/data/benyehuda/canon-v4.zip#library/by-113:8	4699f70c117ee7804f8d0986085b9dc0def9fff8d0585f3f0507627b0e7e306e	none	
ID-LIT-024	in-domain	reading-room-poetry	he	ru	שיר מורכב עם יתד על השלישית ומשקלו ז' הברות אבל לשלשה טורים ראשונים ו' הברות בלבד; וצורתו כשיר זהב עם ג' בתים מרובעים; וכל הסוגרים חורזים כאחד.	Стих составлен с «йатедом» на третьем слоге; его размер — семь слогов, но в первых трёх строках — только шесть; по форме он подобен «золотому стиху» с тремя четверостишиями, и все заключительные полустишия рифмуются между собой.	public/data/benyehuda/canon-v4.zip#library/by-148:4	a68dedd9a94b30c63114543debe8f767450e45688140ea0e459baca9a8f18141	none	
ID-LIT-025	in-domain	reading-room-article	he	ru	היו ימים שגם הפלוסופים ראו בהסכמה זו מופת נאמן על הדבר המוסכם ונתנו לה מקום בתוך שאר מופתיהם על מציאות האלהות.	Были времена, когда и философы считали это согласие надёжным доказательством истинности общепринятого и помещали его среди прочих своих доказательств существования Бога.	public/data/benyehuda/canon-v4.zip#library/by-10:9	fc2d6acc3bcba393b39951f940b3f937128a8390852d3d7ae04bc8f8a69e5414	none	
ID-LIT-026	in-domain	reading-room-prose	he	ru	וַיהי ערב וַיהי בוקר – והנה אד אפל יכס את כל היקום, השמים מתכסים בעננים, וגגות הבתים – בשלג.	И был вечер, и было утро — и вот тёмный туман покрывает всю вселенную, небо затягивается облаками, а крыши домов — снегом.	public/data/benyehuda/canon-v4.zip#library/by-113:9	e6ecf7345c88244b9ddb88981ae6879a88a49907152c50ff065e47156ce2af66	none	
ID-LIT-027	in-domain	reading-room-poetry	he	ru	בָּאתִי עָדֶיךָ, אֵל נִשְׁכָּח מֵעוֹלָם,	Я пришёл к тебе, бог, забытый испокон веков,	public/data/benyehuda/canon-v4.zip#library/by-174:1	4ae6398086c3cf4d2e62294291229e68102b6a3b7117a2280581d0ea80f44cfe	none	
