id	surface	niqqud	stratum	depth	draft_proclitics	R1_VERDICT	R1_NOTES	context
99	מסוגל	מְסֻגָּל	other	0	(unclear)	-	מ is derivational/passive-participle morphology, not preposition מן	ההנחה היא: שכל מה שפועל מסוגל לעשות, מסוגל לעשות חבר קיבוץ – בצורתו
100	מרוב	מֵרֹב	other	0	(unclear)	מ	מ + רוב in “from most of / by much”; live preposition	סוגרים עליה הרים גבוהים מרוב צדדיה: ממזרח – שלשלת הריגולן, מצפון
101	מתולעים	מְתֻלָּעִים	other	0	(unclear)	-	מ is derivational/passive-participle morphology, not preposition מן	מסביבה התגוללו תפוחים ואגסים מתולעים ורקובים לחצאים
108	בגיאהנום	בַּגֵּיאַהֲנוֹם	content	1	ב	בה	ב+ה+גיא־הנום; fused article indicated by בַּ + dagesh	נאות הן הרקפות המציצות ממרומי הכפים בגיאהנום ועל יד "אשד הטחנה" במטולה,
110	בים	בַּיָּם	content	1	ב	בה	ב+ה+ים; fused article indicated by vocalization	מובהקים ובכלל האומה כלה, שהנה עכשו דוגמת ספינה המטורפת בים שזקוקה
116	בעלבית	בַּעֲלָבִית	content	1	ב	-	בעלבית is whole lexical/adjectival form; ב is not locative proclitic	מין מזיגה של בעלבית טוב, שהשכנים דרים אצלו שנים
117	בערתשמש	בערתשׁמשׁ	content	1	ב	-	בערת־שמש / burning-sun compound; ב is root/compound-internal, not proclitic	על הקריה בערתשמש
118	בעת	בָּעֵת	content	1	ב	בה	ב+ה+עת in בעת האחרונה; fused article	בין כל הצרות שנתחדשו עלינו בעת האחרונה תעשה ביחוד רושם מעציב בלב כל איש ישראל התחדשות 'עלי
121	בצורה	בַּצּוּרָה	content	1	ב	בה	ב+ה+צורה; fused article indicated by בַּ + dagesh	וגם באותה ספירה אין רע ממש כי אם בצורה; אין דבר רע בעצם, והוא נעשה רק על ידי אפנים ותנאים 
123	בקשתיה	בְּקַשָּׁתֶיהָ	content	1	ב	-	בקשתיה is verb ביקשתיה/“I sought her”; ב is root, not proclitic	היא אמרה כי תבוא, בגן בקשתיה,
129	בתשחפים	בַּתַּשְׁחַפִּים	content	1	ב	בה	ב+ה+תשחפים; fused article indicated by בַּ	בתשחפים עברה צחורת כנפים,
216	ולבואך	וּלְבוֹאֲךָ	content	1	ו	ול	ו + infinitival/prepositional ל in לבואך	שם אשב ולבואך אמתינה,
228	לאנראה	לָאַנְרָאָה	content	1	ל	-	merged לא נראה / adjectival form; not ל + noun	עם מורד הפלג יש סלע לאנראה,
233	לטבח	לַטֶּבַח	content	1	ל	לה	ל+ה+טבח; fused article indicated by vocalization	הן כל השתתפותנו בה היא רק בבחינת צאן לטבח, בשר לתותחים, וכל תוצאותיה בשבילנו – רק שכול, אל
239	למשל	לְמָשָׁל	content	1	ל	-	lexicalized למשל “for example”; suppress live ל segmentation	התעשיה בקיבוץ להתפתח בצעדים מהירים הרבה יותר מאשר החקלאות, למשל.
240	לנשר	לַנֶּשֶׁר	content	1	ל	לה	ל+ה+נשר; fused article indicated by לַ + dagesh	– (הן אותך דמיתי לנשר!)…
241	לעמק	לָעֵמֶק	content	1	ל	לה	ל+ה+עמק; fused article before guttural indicated by לָ	ותצאי לעמק רק לשאב לך מים.
243	לפרט	לַפְּרָט	content	1	ל	לה	ל+ה+פרט; fused article indicated by לַ + dagesh	חג לפרט בקיבוץ, לחברה כולה, לילדיו, לחניכיו, לממשיכי דרכו בכל פינות הארץ – לתנועה כולה.
245	לרטט	לָרֶטֶט	content	1	ל	לה	ל+ה+רטט; fused article before ר indicated by לָ	או לרטט האשר של לב מאהב,
250	מזהבות	מִזְּהָבוֹת	content	1	מ	-	מזהבות is adjectival/participle “gilded”; מ is derivational, not מן	כל ספרי בכריכות מזהבות.
261	באיזמל	בָּאִזְמֵל	content	0	(unclear)	בה	ב+ה+איזמל; fused article before א indicated by בָ	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
262	בגינה	בַּגִּנָּה	content	0	(unclear)	בה	ב+ה+גינה; fused article indicated by בַּ + dagesh	עם בוקר, בטפלי בגינה שלפני ביתי, אני רואה את הנער
263	בוקר	בֹּקֶר	content	0	(unclear)	-	whole word בוקר; ב is root	עם בוקר, בטפלי בגינה שלפני ביתי, אני רואה את הנער
264	בחיבוק	בְּחִבּוּק	content	0	(unclear)	ב	ב + חיבוק	אין לשבת בחיבוק ידיים; אין לתת לאוייב להתבצר בעמדותיו האנטי-ציוניות; אין לחכות להתקפותיו ה
265	בכורסה	בְּכֻרְסָה	content	0	(unclear)	ב	ב + כורסה	עבודתי, בכורסה המיועדת לאורחים, יושב איש זר, לא ידעתיו מתמול
266	בליהרף	בְּלִהְרָף	content	0	(unclear)	-	lexicalized בלי־הרף; do not split ב/בלי	הלוחש בליהרף על דבר שנשכח.
267	בנוער	בַּנֹּעַר	content	0	(unclear)	בה	ב+ה+נוער; fused article indicated by בַּ + dagesh	שויון זכויות לחינוך בנוער
268	בפועל	בְּפֹעַל	content	0	(unclear)	-	lexicalized בפועל “in practice”; suppress live ב segmentation	אלף, מספר המפרנסים בפועל – כ370 אלף.
269	בפישוט	בְּפִשּׁוּט	content	0	(unclear)	ב	ב + פישוט	המלונה, על הקרקע, משטח של קש וגבבא, ועליו היתה מוטלת בפישוט ידיים
270	בקור	בְּקֹר	content	0	(unclear)	ב	ב + קור	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
271	בקיבוץ	בַּקִּבּוּץ	content	0	(unclear)	בה	ב+ה+קיבוץ; fused article indicated by בַּ + dagesh	חג לפרט בקיבוץ, לחברה כולה, לילדיו, לחניכיו, לממשיכי דרכו בכל פינות הארץ – לתנועה כולה.
272	האומה	הָאֻמָּה	content	0	(unclear)	ה	visible article ה	בעודו באבו, בשנת החמשים ואחת לימי חייו, נעדר ממנו פתאום קברניט האומה
273	האומללים	הָאֻמְלָלִים	content	0	(unclear)	ה	visible article ה	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
274	האיזמל	הָאִזְמֵל	content	0	(unclear)	ה	visible article ה	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
275	הביער	הֲבִעֵר	content	0	(unclear)	ה	interrogative ה; not article	הביער אם בגיא?
276	הויכוח	הַוִּכּוּחַ	content	0	(unclear)	ה	visible article ה	בימי הועידה האחרונה, נזכרנו בתקופת הויכוח עם 'השומר הצעיר' על יסודות
277	הורגלנו	הֻרְגַּלְנוּ	content	0	(unclear)	-	הורגלנו is Hophal/verb morphology; ה is not article/interrogative proclitic	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
278	החול	הַחֹל	content	0	(unclear)	ה	visible article ה	פנימיות הזמן, וימי החול מקיפים הם לשבת: המקיים מצוות שבת כהלכתה חיי
279	החורים	הַחֹרִים	content	0	(unclear)	ה	visible article ה	בשדות ישוטו, אל החורים והסדקים יציצו לבקש אכל.
280	היזמה	הֵזֵמָּה	content	0	(unclear)	ה	visible article ה on היזמה/initiative	עלינו לקבל את היזמה לידינו, עלינו לעבור להתקפה נמרצת ומקיפה.
281	הנוער	הַנֹּעַר	content	0	(unclear)	ה	visible article ה	זועזעתי בראותי איך הכניסו בתוך תנועת הנוער העובד, בין
282	הקיבוץ	הַקִּבּוּץ	content	0	(unclear)	ה	visible article ה	למחצית היובל של הקיבוץ
283	הריגולן	הֲרִגּוּלָן	content	0	(unclear)	-	הריגולן is fused הרי־גולן / toponymic compound; initial ה belongs to lexical word הרי, not article	סוגרים עליה הרים גבוהים מרוב צדדיה: ממזרח – שלשלת הריגולן, מצפון
284	השיביני	הַשִּׁיבֵנִי	content	0	(unclear)	-	השיביני is imperative/verb form; ה is binyan/lexical morphology, not article	את השיביני, אמיאדמתי,
285	וגילו	וְגִלּוּ	content	0	(unclear)	ו	ו + גילו	ב. באשר לשיתוף פעולה, הרי אם מעשה ברח' דיזנגוף (שאותו הם מתכוננים לנקום) או מעשה עטלית (שע
286	והפורענות	וְהַפֻּרְעָנוּת	content	0	(unclear)	וה	ו + visible article ה	המסוכן שבגלות אינו ריבוי הרדיפות והצרות, אלא מיעוט הסבל והפורענות.
287	והפירות	וְהַפֵּרוֹת	content	0	(unclear)	וה	ו + visible article ה	גבעולו נבוב ודק ואין ביכלתו לעמד זקוף ולשאת את העלים, הפרחים והפירות.
288	וחוסר	וְחֹסֶר	content	0	(unclear)	ו	ו + חוסר	תעשיה בקיבוץ וחוסר עובדים
289	ולכיבוש	וּלְכִבּוּשׁ	content	0	(unclear)	ול	ו + ל + כיבוש	עבודה ולכיבוש עצמנו לעבודה, להקמת משק מגוון ומפותח, לטיפוח חברה
290	ושתותך	וְשֶׁתֻּתַּךְ	content	0	(unclear)	וש	ו + ש complementizer	ושתותך כל הזעמים,
291	כיפת	כִּפַּת	content	0	(unclear)	-	כיפת is whole construct noun; כ is root	כיפת עננים נגוהה כלשהו במרכזה.
292	כישלון	כִּשָּׁלוֹן	content	0	(unclear)	-	כישלון is whole noun; כ is root	דבר אחד ברור לחלוטין: דרך כשרה, שסופה כישלון, פסולה היא; דרך "פסולה", שסופה נצחון – כשרה ל
293	כרותראש	כְּרֻתְרָאשׁ	content	0	(unclear)	-	כרות־ראש: כ is root of כרות, not comparative כ	בשיח יש זלזל כרותראש ודומע:
294	לאומית	לְאֻמִּית	content	0	(unclear)	-	לאומית is whole adjective; ל is root/lexical	דווקא שעה קשה זו, שאין לדעת כמה תימשך, ואם לא תהיה בעתיד עוד יותר קשה ­– דווקא שעה קשה זו 
295	לבינים	לְבֵנִים	content	0	(unclear)	-	לבינים is whole noun “bricks”; ל is root	קטנים ותפוחים גדולים, אל גדר לבינים לא טוחה, היתה נשענת מלונה של קרשים
296	לביצה	לְבִצָּה	content	0	(unclear)	ל	ל + ביצה	בדרום העמק נכנסים הנחלים לביצה המשתרעת על שטח של אלפי דונמים ותופשת
297	לגידול	לְגִדּוּל	content	0	(unclear)	ל	ל + גידול	שיתופית, לגידול דור שני, להיאבקות רעיונית בתנועה, להיחלצות ולעמידה בכל
298	להיאבקות	לְהֵאָבְקוּת	content	0	(unclear)	ל	ל + היאבקות; inner ה belongs to stem	שיתופית, לגידול דור שני, להיאבקות רעיונית בתנועה, להיחלצות ולעמידה בכל
299	להיחלצות	לְהֵחָלְצוּת	content	0	(unclear)	ל	ל + היחלצות; inner ה belongs to stem	שיתופית, לגידול דור שני, להיאבקות רעיונית בתנועה, להיחלצות ולעמידה בכל
300	לוקטו	לֻקְּטוּ	content	0	(unclear)	-	לוקטו is passive verb; ל is root/verb morphology	המכתבים לוקטו מתוך עשרות העתקי מכתבים שנשמרו בתיקיו –
301	לחינוך	לְחִנּוּךְ	content	0	(unclear)	ל	ל + חינוך	שויון זכויות לחינוך בנוער
302	לחשוב	לַחֲשֹׁב	content	0	(unclear)	ל	infinitival ל + חשב/חשוב	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
303	לחשוש	לַחֲשֹׁשׁ	content	0	(unclear)	ל	infinitival ל + חשש	להורים לא היה כל יסוד לחשוש לעתידה של בתם הקטנה.
304	לטיפוח	לְטִפּוּחַ	content	0	(unclear)	ל	ל + טיפוח	עבודה ולכיבוש עצמנו לעבודה, להקמת משק מגוון ומפותח, לטיפוח חברה
305	לטעון	לִטְעֹן	content	0	(unclear)	ל	infinitival ל + טען	בחמה עת יבריכוהו לטעון משא על גבו.
306	לכיבוש	לַכִּבּוּשׁ	content	0	(unclear)	לה	ל+ה+כיבוש; fused article indicated by לַ + dagesh	25 שנות עמל ויצירה – מחצית יובל למאמצי אנוש: לכיבוש
307	למסור	לִמְסֹר	content	0	(unclear)	ל	infinitival ל + מסר/מסור	דבר זה אינך צריך כמובן למסור ל– – –.
308	לנקום	לִנְקֹם	content	0	(unclear)	ל	infinitival ל + נקם	ב. באשר לשיתוף פעולה, הרי אם מעשה ברח' דיזנגוף (שאותו הם מתכוננים לנקום) או מעשה עטלית (שע
309	לנשור	לִנְשֹׁר	content	0	(unclear)	ל	infinitival ל + נשר	מדאי, ואז צפויים פרחיו לסכנה – לנשור לנשיבתרוח קלה.
310	לעבור	לַעֲבֹר	content	0	(unclear)	ל	infinitival ל + עבר	עלינו לקבל את היזמה לידינו, עלינו לעבור להתקפה נמרצת ומקיפה.
311	לשאוף	לִשְׁאֹף	content	0	(unclear)	ל	infinitival ל + שאף	יצא העלם לשאוף אויר צח, נאמר, לשער דמשק וצפונה.
312	לשולחן	לַשֻּׁלְחָן	content	0	(unclear)	לה	ל+ה+שולחן; fused article indicated by לַ + dagesh	נשאתי פני מן הספר שקראתי וראיתי: ממולי, מעבר לשולחן
313	לשיתוף	לְשִׁתּוּף	content	0	(unclear)	ל	ל + שיתוף	ב. באשר לשיתוף פעולה, הרי אם מעשה ברח' דיזנגוף (שאותו הם מתכוננים לנקום) או מעשה עטלית (שע
314	לשמוע	לִשְׁמֹעַ	content	0	(unclear)	ל	infinitival ל + שמע	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
315	לשמור	לִשְׁמֹר	content	0	(unclear)	ל	infinitival ל + שמר	ברצוננו לשמור על רמתהחיים של שנת 1947 בכוחנו אנו, בכוח היצירה שלנו,
316	מאורעות	מְאֹרָעוֹת	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	מערכות הגורל, שפקדו את ארצנו ועם ישראל מימי ה'מאורעות', מלחמת העולם,
317	מובהקים	מֻבְהָקִים	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	מובהקים ובכלל האומה כלה, שהנה עכשו דוגמת ספינה המטורפת בים שזקוקה
318	מוחלט	מֻחְלָט	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	חטא גדול הוא להאמין ברע מוחלט, ביסוד רע מוחלט, יסוד קיים בעד עצמו.
319	מוטלת	מֻטֶּלֶת	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	המלונה, על הקרקע, משטח של קש וגבבא, ועליו היתה מוטלת בפישוט ידיים
320	מומחים	מֻמְחִים	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	לארצנו מומחים איש איש למקצועו, במקום פטפוטים נתחיל במעשים; עם
321	מושג	מֻשָּׂג	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	סופרי החסידים מבחינים בכל עצם או מושג בין פנימיותו
322	מידבקים	מִדַּבְּקִים	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	ולשליש, וזבובים מזמזמים מרפרפים על גביהם, מידבקים בהם רגע ומתנשאים שוב.
323	מיוחד	מְיֻחָד	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	וכחיל מיוחד בתוך הצבא, הולך ומתארגן הנח"ל, שמלבד הכשרתו לכוננות קרבית
324	מיעוט	מִעוּט	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	מקור הרעה איננו בזה שאנו מיעוט בכל, אלא בזה שאנו משועבדים.
325	מסויים	מְסֻיָּם	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	שהשירה את שערותיה, בעיקר כאילו לשם סולידריות עם המתקרבים לגיל מסויים,
326	מעוקלים	מְעֻקָּלִים	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	בצלע הגן, תחת תפוחה מסובלת ענפים מעוקלים, נושאי עלים
327	משועבדים	מְשֻׁעְבָּדִים	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	מקור הרעה איננו בזה שאנו מיעוט בכל, אלא בזה שאנו משועבדים.
328	מתולל	מְתֻלָּל	content	0	(unclear)	-	מ is derivational/lexical morphology, not preposition מן	אך שערו רחוץ ומסורק כראוי, מתולל משהו מעל למצח, גם פניו
329	שבליהזהר	שֶׁבְּלִהְזַהֵר	content	0	(unclear)	ש	ש + בלי־הזהר; only outer ש is live, inner בלי is lexicalized	ברעדתם אקצר כל שבליהזהר,
330	שחור	שָׁחֹר	content	0	(unclear)	-	שחור is whole adjective; ש is root	הכחולה המתנפחים ברוח רבב שמן גדול. מידיו האוחזות בהגה ניכר שחור
331	שירתי	שֵׁרַתִּי	content	0	(unclear)	-	שירתי is whole word/verb or noun with suffix; ש is root	שקר היו כל דברי שירתי,
332	שיתופית	שִׁתּוּפִית	content	0	(unclear)	-	שיתופית is whole adjective; ש is root	שיתופית, לגידול דור שני, להיאבקות רעיונית בתנועה, להיחלצות ולעמידה בכל
