id	surface	niqqud	stratum	depth	draft_proclitics	stem	posDicta	offline_agrees	needs_r1	R1_VERDICT	R1_NOTES	context
54	לכן	לָכֵן	fossil	0		לכן	conjunction	Y	YES	-	fossilized/lexicalized function word; suppress live proclitic segmentation	לכן יזדרז האכר להעמיד אצל צמחי האפון קנים ארכים, והוא נאחז בהם, מטפס ועולה.
55	לאמור	לֵאמֹר	archaic	0	(unclear)	לאמר	verb	N	YES	ל	archaic infinitive ל; sense must be infinitival, not dative	הן כל השתתפותנו בה היא רק בבחינת צאן לטבח, בשר לתותחים, וכל תוצאותיה בשבילנו – רק שכול, אל
56	לאמר	לֵאמֹר	archaic	0		לאמר	verb	Y	YES	ל	archaic infinitive ל; sense must be infinitival, not dative	גם לפני חמשים שנה, בימי מנוחה ושלוה, שעוררה עלילת דמשק רעש גדול כלכך בארצות המערב, עדיין י
57	לדעת	לָדַעַת	archaic	0		לדעת	verb	Y	YES	ל	infinitival ל; sense must be infinitival, not dative	דווקא שעה קשה זו, שאין לדעת כמה תימשך, ואם לא תהיה בעתיד עוד יותר קשה ­– דווקא שעה קשה זו 
58	לשבת	לָשֶׁבֶת	archaic	0		לשבת	verb	Y	YES	ל	infinitival ל; sense must be infinitival, not dative	אין לשבת בחיבוק ידיים; אין לתת לאוייב להתבצר בעמדותיו האנטי-ציוניות; אין לחכות להתקפותיו ה
59	לתת	לָתֵת	archaic	0		לתת	verb	Y	YES	ל	infinitival ל; sense must be infinitival, not dative	אין לשבת בחיבוק ידיים; אין לתת לאוייב להתבצר בעמדותיו האנטי-ציוניות; אין לחכות להתקפותיו ה
60	בזה	בָּזֶה	other	1	ב	זה	pronoun	N	YES	ב	ב + demonstrative זה	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
61	בשקטעד	בִּשְׁקַטְעַד	other	1	ב	שקטעד	adverb	N	YES	ב	ב + שקט; spacing/fusion artifact with עד	ים כנרת נח בשקטעד.
62	האנטי	הָאַנְטִי	other	1	ה	אנטי		N	YES	ה	article ה on foreign adjective anti-	אין לשבת בחיבוק ידיים; אין לתת לאוייב להתבצר בעמדותיו האנטי-ציוניות; אין לחכות להתקפותיו ה
63	הזה	הַזֶּה	other	1	ה	זה	pronoun	N	YES	ה	article/determiner ה on demonstrative הזה	אמרתי: 'על רוח עמנו', כי אמנם רואה אני מקור החזיון הזה לא בסבות חיצוניות, כי אם עמוק ברוח 
64	החרף	הַחֵרֶף	other	1	ה	חרף	preposition	N	YES	ה	visible article ה	בימי החרף יראה על שפת הפלגים והנחלים בארצנו העוף הנחמד והחביב – הנחליאלי.
65	הנח"ל	הַנַּחַ"ל	other	1	ה	נח"ל		N	YES	ה	visible article ה on acronym נח״ל	וכחיל מיוחד בתוך הצבא, הולך ומתארגן הנח"ל, שמלבד הכשרתו לכוננות קרבית
66	העשרים	הָעֶשְׂרִים	other	1	ה	עשרים	numeral	N	YES	ה	visible article ה	העשרים וצלל מאז בתהום הנשייה.
67	ואחת	וְאַחַת	other	1	ו	אחת	numeral	N	YES	ו	outer ו is live	בעודו באבו, בשנת החמשים ואחת לימי חייו, נעדר ממנו פתאום קברניט האומה
68	ואיננה	וְאֵינֶנָּה	other	1	ו	איננה		N	YES	ו	outer ו is live	נפשי אבדה ואיננה,
69	ובאמת	וּבֶאֱמֶת	other	1	ו	באמת	adverb	N	YES	ו	ו + fossil באמת; only outer ו is live	ובאמת מה לנו ולמלחמה באירופה?
70	והריני	וַהֲרֵינִי	other	1	ו	הריני		N	YES	ו	outer ו is live	הגורל מפקד והריני טוען.
71	וחייהציד	וחייהציד	other	1	ו	חייהציד		N	YES	ו	outer ו is live	וחייהציד – מה רעים הם וקשים!
72	וכן	וְכֵן	other	1	ו	כן	conjunction	N	YES	ו	outer ו is live	בחירה זו נמשכה דורות רבים וכן נוצרו גזעיהכלב השונים:
73	וכעבר	וְכַעֲבֹר	other	1	ו	כעבר	preposition	N	YES	ו	ו + lexicalized כעבר; do not decompose inner כ	האפון ייטיב לצמח בחרף. הוא נזרע עוד לפני הגשמים וכעבר שלשה חדשים ירהיב כבר את עינינו בתרמי
74	ומסורק	וּמְסֹרָק	other	1	ו	מסרק		N	YES	ו	outer ו is live	אך שערו רחוץ ומסורק כראוי, מתולל משהו מעל למצח, גם פניו
75	ועד	וְעַד	other	1	ו	עד	preposition	N	YES	ו	outer ו is live	העלילה הנתעבה הזאת, בכל ישנה, היתה ותהיה תמיד בעינינו כחדשה, ומימי הבינים ועד עתה תצטין בפ
76	ועוד	וְעוֹד	other	1	ו	עוד	adverb	N	YES	ו	outer ו is live	עוד… עוד… ועוד… והנה המטרה, − וכאן נגמר, − אף צעד לא יזוז,
77	כעשרים	כְּעֶשְׂרִים	other	1	כ	עשרים	numeral	N	YES	כ	כ + numeral “about twenty”	בין השנים 1904–1901 הספיק לפרסם כעשרים
78	למה	לְמָה	other	1	ל	מה	interrogative	N	YES	ל	ל + מה in interrogative phrase; not dative	למה הדבר דומה?
79	מזה	מִזֶּה	other	1	מ	זה	pronoun	N	YES	מ	מ + זה	– אי מזה נכנסו המלים אל נפשי.
80	מכל	מִכָּל	other	1	מ	כל		N	YES	מ	מ + כל	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
81	מעל	מֵעַל	other	1	מ	על	preposition	N	YES	מ	מ + על	אך שערו רחוץ ומסורק כראוי, מתולל משהו מעל למצח, גם פניו
82	מעליו	מֵעָלָיו	other	1	מ	עליו	preposition	N	YES	מ	מ + עליו	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
83	משלו	מִשֶּׁלּוֹ	other	1	מ	שלו	preposition	N	YES	מ	מ + שלו	הן כל השתתפותנו בה היא רק בבחינת צאן לטבח, בשר לתותחים, וכל תוצאותיה בשבילנו – רק שכול, אל
84	שבין	שֶׁבֵּין	other	1	ש	בין	preposition	N	YES	ש	ש + בין	אלזה היתה הצעירה שבין ששת
85	שהיה	שֶׁהָיָה	other	1	ש	היה		N	YES	ש	ש + היה	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
86	שהיתה	שֶׁהָיְתָה	other	1	ש	היתה		N	YES	ש	ש + היתה	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
87	שחלה	שֶׁחָלָה	other	1	ש	חלה		N	YES	ש	ש + חלה	(שיר-שחלה, וחרוז- המלאי).
88	שכל	שֶׁכָּל	other	1	ש	כל		N	YES	ש	ש + כל	ההנחה היא: שכל מה שפועל מסוגל לעשות, מסוגל לעשות חבר קיבוץ – בצורתו
89	שלך	שֶׁלְּךָ	other	1	ש	לך	preposition	N	YES	-	שלך is possessive של+suffix; ש is not standalone complementizer here	א. אני מאשר בזה את קבלת הרפורט שלך (בלי תאריך).
90	בין	בֵּין	other	0		בין	preposition	Y	YES	-	whole preposition בין	בין כל הצרות שנתחדשו עלינו בעת האחרונה תעשה ביחוד רושם מעציב בלב כל איש ישראל התחדשות 'עלי
91	כאילו	כְּאִלּוּ	other	0	(unclear)	כאלו	conjunction	N	YES	-	lexicalized כאילו; do not split כ	שהשירה את שערותיה, בעיקר כאילו לשם סולידריות עם המתקרבים לגיל מסויים,
92	כולה	כֻּלָּהּ	other	0	(unclear)	כלה		N	YES	-	כול־ with pronominal suffix; כ is root/lexical, not proclitic	חג לפרט בקיבוץ, לחברה כולה, לילדיו, לחניכיו, לממשיכי דרכו בכל פינות הארץ – לתנועה כולה.
93	כולו	כֻּלּוֹ	other	0	(unclear)	כלו		N	YES	-	כול־ with pronominal suffix; כ is root/lexical, not proclitic	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
94	כולם	כֻּלָּם	other	0	(unclear)	כלם		N	YES	-	כול־ with pronominal suffix; כ is root/lexical, not proclitic	בני ביתי הלכו כולם ונשארתי יחידי בדירה רבת החדרים.
95	כולנו	כֻּלָּנוּ	other	0	(unclear)	כלנו		N	YES	-	כול־ with pronominal suffix; כ is root/lexical, not proclitic	כולנו ראינו בו את משאנפשנו: חיל
96	מגוהץ	מְגֹהָץ	other	0	(unclear)	מגהץ		N	YES	-	מ is derivational/passive-participle morphology, not preposition מן	בימות החמה, מגוהץ.
97	מכופתר	מְכֻפְתָּר	other	0	(unclear)	מכפתר		N	YES	-	מ is derivational/passive-participle morphology, not preposition מן	עינים מביעות טובלב סבאי, שפתים שהחיוך האופטימי שוכן עליהם, מכופתר גם
98	מסובלת	מְסֻבֶּלֶת	other	0	(unclear)	מסבלת		N	YES	-	מ is derivational/passive-participle morphology, not preposition מן	בצלע הגן, תחת תפוחה מסובלת ענפים מעוקלים, נושאי עלים
99	מסוגל	מְסֻגָּל	other	0	(unclear)	מסגל		N	YES	-	מ is derivational/passive-participle morphology, not preposition מן	ההנחה היא: שכל מה שפועל מסוגל לעשות, מסוגל לעשות חבר קיבוץ – בצורתו
100	מרוב	מֵרֹב	other	0	(unclear)	רב		N	YES	מ	מ + רוב in “from most of / by much”; live preposition	סוגרים עליה הרים גבוהים מרוב צדדיה: ממזרח – שלשלת הריגולן, מצפון
101	מתולעים	מְתֻלָּעִים	other	0	(unclear)	מתלעים		N	YES	-	מ is derivational/passive-participle morphology, not preposition מן	מסביבה התגוללו תפוחים ואגסים מתולעים ורקובים לחצאים
102	ולכשהמלך	וּלִכְשֶׁהַמֶּלֶךְ	content	5	ולכשה				YES	ולכשה	canonical stack: ו + לכש subordinator + fused article ה	SEED — depth-5 stack ו+ל+כש+ה
103	בבית	בַּבַּיִת	content	2	בה				YES	בה	canonical fused article: ב + ה + בית	SEED — ב + fused article ה (in the house)
104	והנחליאלי	וְהַנַּחְלִיאֵלִי	content	2	וה	נחליאלי	noun	N	YES	וה	ו + visible article ה	–והנחליאלי מהר לטוס אליו.
105	משאנפשנו	מִשֶּׁאֶנְפְּשֶׁנּוּ	content	2	מש	אנפשנו	verb	N	YES	מש	מ + ש complementizer/subordinator	כולנו ראינו בו את משאנפשנו: חיל
106	באש	בְּאֵשׁ	content	1	ב	אש	noun	N	YES	ב	ב + אש	באש לבי אבעיר, אפיל קיר גבולך.
107	בבלואי	בִּבְלוֹאֵי	content	1	ב	בלואי	noun	N	YES	ב	ב + בלואי	בבלואי אהלים, בטחב המחלות
108	בגיאהנום	בַּגֵּיאַהֲנוֹם	content	1	ב	גיאהנום	noun	N	YES	בה	ב+ה+גיא־הנום; fused article indicated by בַּ + dagesh	נאות הן הרקפות המציצות ממרומי הכפים בגיאהנום ועל יד "אשד הטחנה" במטולה,
109	ביולי	בְּיוּלִי	content	1	ב	יולי	noun	N	YES	ב	ב + July	מהם 415 אלף עד 1 ביולי.
110	בים	בַּיָּם	content	1	ב	ים	noun	N	YES	בה	ב+ה+ים; fused article indicated by vocalization	מובהקים ובכלל האומה כלה, שהנה עכשו דוגמת ספינה המטורפת בים שזקוקה
111	בימי	בִּימֵי	content	1	ב	ימי	noun	N	YES	ב	ב + ימי	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
112	בכוחנו	בְּכוֹחֵנוּ	content	1	ב	כוחנו	noun	N	YES	ב	ב + כוחנו	ברצוננו לשמור על רמתהחיים של שנת 1947 בכוחנו אנו, בכוח היצירה שלנו,
113	במטולה	בִּמְטוּלָה	content	1	ב	מטולה	noun	N	YES	ב	ב + place name מטולה	נאות הן הרקפות המציצות ממרומי הכפים בגיאהנום ועל יד "אשד הטחנה" במטולה,
114	בנשיבת	בִּנְשִׁיבַת	content	1	ב	נשיבת	noun	N	YES	ב	ב + נשיבת	אך בנשיבת הרוח הרגשתי
115	בסערותתפלותי	בסערותתפלותי	content	1	ב	סערותתפלותי	noun	N	YES	ב	ב + סערות־תפלותי; spacing/fusion artifact	בסערותתפלותי אסל שביל,
116	בעלבית	בַּעֲלָבִית	content	1	ב	עלבית	noun	N	YES	-	בעלבית is whole lexical/adjectival form; ב is not locative proclitic	מין מזיגה של בעלבית טוב, שהשכנים דרים אצלו שנים
117	בערתשמש	בערתשׁמשׁ	content	1	ב	ערתשמש	noun	N	YES	-	בערת־שמש / burning-sun compound; ב is root/compound-internal, not proclitic	על הקריה בערתשמש
118	בעת	בָּעֵת	content	1	ב	עת	noun	N	YES	בה	ב+ה+עת in בעת האחרונה; fused article	בין כל הצרות שנתחדשו עלינו בעת האחרונה תעשה ביחוד רושם מעציב בלב כל איש ישראל התחדשות 'עלי
119	בפורמציה	בְּפוֹרְמֶצְיָה	content	1	ב	פורמציה	noun	N	YES	ב	ב + פורמציה	הרוח החיה בפורמציה זו הוא אליק שומרוני.
120	בפעולתה	בִּפְעֻלָּתָהּ	content	1	ב	פעלתה	noun	N	YES	ב	ב + פעולתה	העלילה הנתעבה הזאת, בכל ישנה, היתה ותהיה תמיד בעינינו כחדשה, ומימי הבינים ועד עתה תצטין בפ
121	בצורה	בַּצּוּרָה	content	1	ב	צורה	noun	N	YES	בה	ב+ה+צורה; fused article indicated by בַּ + dagesh	וגם באותה ספירה אין רע ממש כי אם בצורה; אין דבר רע בעצם, והוא נעשה רק על ידי אפנים ותנאים 
122	בקרב	בִּקְרַב	content	1	ב	קרב	noun	N	YES	ב	ב + קרב	בשדרות המצלות בקרב הגן;
123	בקשתיה	בְּקַשָּׁתֶיהָ	content	1	ב	קשתיה	noun	N	YES	-	בקשתיה is verb ביקשתיה/“I sought her”; ב is root, not proclitic	היא אמרה כי תבוא, בגן בקשתיה,
124	בראשית	בְּרֵאשִׁית	content	1	ב	ראשית	noun	N	YES	ב	ב + ראשית	קצנלנבוגן (יש"ק), שהבליח לשנים מעטות על דפי העתונות העברית בראשית המאה
125	ברום	בְּרוּם	content	1	ב	רום	noun	N	YES	ב	ב + רום	קדש, טהר וזהר ברום.
126	בשולי	בְּשׁוּלֵי	content	1	ב	שולי	noun	N	YES	ב	ב + שולי	בשולי הפרק הרוח החיה מאת מאיר שחר
127	בשלהי	בְּשִׁלְהֵי	content	1	ב	שלהי	noun	N	YES	ב	ב + שלהי	המטייל בשלהי קיץ בהרי יהודה, השומרון והשפלה, ונכנס לעמק החולה, ישתומם למרחב העצום הירוק ול
128	בשמי	בִּשְׁמִי	content	1	ב	שמי	noun	N	YES	ב	ב + שמי	תודה לו בשמי.
129	בתשחפים	בַּתַּשְׁחַפִּים	content	1	ב	תשחפים	noun	N	YES	בה	ב+ה+תשחפים; fused article indicated by בַּ	בתשחפים עברה צחורת כנפים,
130	האדם	הָאָדָם	content	1	ה	אדם	noun	N	YES	ה	visible article/determiner ה	כשכין רוח האדם לאדם,
131	האופטימי	הָאוֹפְּטִימִי	content	1	ה	אופטימי	adjective	N	YES	ה	visible article/determiner ה	עינים מביעות טובלב סבאי, שפתים שהחיוך האופטימי שוכן עליהם, מכופתר גם
132	האמיתי	הָאֲמִתִּי	content	1	ה	אמתי	adjective	N	YES	ה	visible article/determiner ה	ב. באשר לשיתוף פעולה, הרי אם מעשה ברח' דיזנגוף (שאותו הם מתכוננים לנקום) או מעשה עטלית (שע
133	האפון	הָאַפּוֹן	content	1	ה	אפון	noun	N	YES	ה	visible article/determiner ה	האפון ייטיב לצמח בחרף. הוא נזרע עוד לפני הגשמים וכעבר שלשה חדשים ירהיב כבר את עינינו בתרמי
134	הבריאה	הַבְּרִיאָה	content	1	ה	בריאה	noun	N	YES	ה	visible article/determiner ה	הדבר נקרא רע ובא לידי פעולה רעה רק בספירה השניה של הבריאה, בספירה התולדתית.
135	הבשורה	הַבְּשׂוֹרָה	content	1	ה	בשורה	noun	N	YES	ה	visible article/determiner ה	כרעם משמי טוהר הלמה את כל בית ישראל הבשורה המחרידה כי
